customer_id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,name,occupation,risk_rating,is_pep,avg_monthly_volume,volume_deviation_pct
825,53,66,1966,11,Female,462 Rose Lane,34.15,-117.76,$29278,59696.0,127613.0,787,5,Michael Hudson,Nurse,Low,False,6272.908333333333,0.2609705842937549
1746,53,68,1966,12,Female,3606 Federal Boulevard,40.76,-73.74,$37891,77254.0,191349.0,701,5,Randy Strickland,Nurse,Low,False,7883.403333333333,0.2245429362880886
1718,81,67,1938,11,Female,766 Third Drive,34.02,-117.89,$22681,33483.0,196.0,698,5,Jennifer Martin,Retired,Low,False,75333.92571428571,25.99898780191227
708,63,63,1957,1,Female,3 Madison Street,40.71,-73.99,$163145,249925.0,202328.0,722,4,Larry Salas,Nurse,Low,False,24628.245,0.1825105131539462
1164,43,70,1976,9,Male,9620 Valley Stream Drive,37.76,-122.44,$53797,109687.0,183855.0,675,1,John Watson,Manager,Low,False,11097.976666666667,0.21414315278930046
68,42,70,1977,10,Male,58 Birch Lane,41.55,-90.6,$20599,41997.0,0.0,704,3,Michelle Black,Sales,Low,False,4432.031666666667,0.2663852179917614
1075,36,67,1983,12,Female,5695 Fifth Street,38.22,-85.74,$25258,51500.0,102286.0,672,3,Bradley Martin,Engineer,Low,False,5402.406666666667,0.2588132038834952
1711,26,67,1993,12,Male,1941 Ninth Street,45.51,-122.64,$26790,54623.0,114711.0,728,1,Jose Guerra,Nurse,Low,False,5573.335,0.22439302125478286
1116,81,66,1938,7,Female,11 Spruce Avenue,40.32,-75.32,$26273,42509.0,2895.0,755,5,Thomas Velasquez,Retired,Low,False,4484.01,0.26580535886518153
1752,34,60,1986,1,Female,887 Grant Street,29.97,-92.12,$18730,38190.0,81262.0,810,1,Tara Perry,Teacher,Low,False,4029.7616666666668,0.2662251898402723
192,27,66,1992,6,Male,888 Fifth Lane,38.65,-121.25,$27548,56164.0,15224.0,761,2,James Hughes,Nurse,Low,False,5668.675,0.21116907627661857
640,29,63,1990,9,Female,8677 Littlewood Lane,40.42,-104.74,$22427,45727.0,94016.0,629,1,Danny Flores,Teacher,Low,False,4762.183333333333,0.24972554508277378
1679,18,67,2002,1,Female,829 Fourth Boulevard,41.76,-71.48,$33914,69149.0,89214.0,776,1,Miguel Rogers,Student,Low,False,7041.821666666667,0.22202577043775037
1094,34,62,1985,10,Male,74786 Jefferson Drive,44.75,-85.6,$20325,41442.0,78833.0,712,3,Andrew Lowery,Teacher,Low,False,4429.935,0.28273780222962214
1590,48,62,1971,5,Female,781 East Street,29.45,-98.5,$10059,20513.0,32509.0,599,1,Ronald Blake,Nurse,Low,False,2332.2983333333336,0.3643825866523669
1660,41,68,1978,4,Female,40 Washington Drive,36.73,-102.51,$11342,23123.0,5079.0,723,6,Luis Bullock,Manager,Low,False,2642.1349999999998,0.3711724257233056
1747,54,71,1966,1,Male,3994 Hillside Drive,32.15,-94.79,$17898,36497.0,38333.0,719,6,Daniel Hernandez,Teacher,Low,False,4020.486666666666,0.32191248595774985
153,76,71,1943,8,Female,172 Birch Street,35.29,-111.32,$21950,27484.0,16803.0,660,4,Lisa Henderson,Retired,Low,False,2951.1666666666665,0.28853150924174065
429,22,68,1997,11,Male,8145 Spruce Boulevard,35.19,-80.83,$26481,53995.0,89056.0,683,3,Cynthia Martinez,Student,Low,False,5608.656666666667,0.24648356329289758
511,66,68,1953,10,Male,153 Tenth Lane,32.21,-110.88,$17460,35602.0,55369.0,661,5,Mark Dean,Government Official,High,True,3763.1766666666667,0.2684152575697995
309,28,57,1991,8,Male,2473 Lake Avenue,32.07,-82.91,$12321,25122.0,43205.0,819,3,Russell Porter,Teacher,Low,False,2679.8333333333335,0.280073242576228
777,18,65,2002,1,Male,970 Essex Drive,37.37,-122.21,$106305,216740.0,0.0,700,2,Lynn Andrews,Student,Low,False,21479.975000000002,0.1892576358770878
1946,76,66,1943,6,Male,9186 Washington Avenue,41.47,-81.67,$19524,41109.0,21486.0,698,2,Doris Smith,Retired,Low,False,4422.016666666667,0.2908170960130388
1674,70,64,1949,4,Male,5073 Wessex Avenue,35.49,-90.35,$14172,26858.0,11245.0,712,2,Kenneth Lopez,Retired,Low,False,3002.4949999999994,0.34149750539876367
482,45,65,1975,1,Male,195 Eighth Boulevard,42.39,-122.93,$17131,34929.0,63849.0,714,1,Kelly Ward,Nurse,Low,False,39817.335,12.679407369234735
877,36,63,1983,8,Female,801 Mill Boulevard,33.44,-111.85,$16829,34317.0,61826.0,610,3,Kimberly Hartman,Teacher,Low,False,3551.808333333334,0.24199959203893126
128,40,66,1979,4,Female,6914 Wessex Avenue,29.76,-95.38,$15389,31377.0,59615.0,722,2,Alicia Marks,Teacher,Low,False,55416.568333333336,20.193830512795998
775,37,58,1982,9,Male,776 Norfolk Boulevard,34.17,-118.46,$21402,43638.0,104052.0,627,1,James Brooks,Nurse,Low,False,4694.706666666666,0.29099592098629623
1536,41,67,1978,11,Male,2015 Bayview Avenue,36.15,-85.5,$15955,32531.0,38260.0,766,2,Heather Jones,Nurse,Low,False,3406.308333333334,0.256515323844948
140,37,72,1983,2,Female,108 Washington Street,36.28,-86.83,$20657,42120.0,72801.0,739,4,Matthew Garcia,Engineer,Low,False,4519.23,0.2875299145299144
1884,18,64,2001,5,Male,660 Seventh Drive,39.98,-82.98,$28092,57281.0,89114.0,850,1,Nicole Anderson,Student,Low,False,5928.233333333334,0.24192664234213793
1874,49,66,1970,9,Male,7505 Tenth Boulevard,25.77,-80.2,$18828,38390.0,87923.0,783,4,George Day,Manager,Low,False,4164.373333333333,0.3017056525136753
1310,33,69,1986,9,Female,4930 Birch Drive,33.92,-78.02,$17498,35670.0,58182.0,751,2,Melinda Pollard,Manager,Low,False,9457.186666666666,2.1815598542192314
1689,21,66,1998,9,Female,93 Plum Lane,41.29,-72.36,$30281,61746.0,154817.0,637,2,Clarence Taylor,Student,Low,False,6275.165,0.21954426197648425
379,47,65,1972,11,Female,837 Lincoln Avenue,30.68,-88.04,$21331,43496.0,114563.0,765,3,Terri Johnson,Teacher,Low,False,4505.055,0.2428880816626817
